feature,coefficient,iv,bins
util_trend_ratio,0.5675671101693539,1.6396067629463458,4
payment_ratio_mean_3m,0.5833713745170495,1.450659569730799,3
months_since_arrears,0.7447639171029828,1.441321914693561,11
util_slope_12m,-0.19902039835224272,1.0535820440121642,7
util_std_12m,0.22110748515307485,0.8797083170417186,7
dpd_max_ever,0.44151879062818267,0.7671066607886208,3
payment_ratio_mean_12m,-0.07895487751556331,0.7365806275442095,5
months_zero_payment_6m,-0.18325488390641517,0.519046318390302,3
util_at_observation,1.143134692386893,0.5125048784388997,5
tenure_months,0.8852314754928604,0.19806739692410844,9
months_since_overlimit,0.19869064256194593,0.19547684938064713,10
atm_share_3m,0.04611021225248578,0.16446113268565946,2
drawings_to_limit_6m,0.17729785892243427,0.15350857289911496,2
limit_at_observation_log,0.4675066793343126,0.11563736121680622,6
atm_share_12m,0.16391867644235275,0.08427936701741404,2
util_std_3m,0.041398842131148826,0.04307032292665296,2
months_zero_payment_3m,-0.18996546574553158,0.03502708234154872,2
