observation_month,contracts_in_panel,not_observed_at_observation_point,insufficient_pre_history,insufficient_outcome_window,no_active_credit_limit,already_delinquent_at_observation,eligible,bads,treated
-13,104307,33128,21382,19647,8839,572,20739,23,2251
-16,104307,40841,17974,1,12374,1331,31786,66,2738
-19,104307,47187,14958,1,10538,1389,30234,73,2545
-22,104307,51512,13134,0,8937,1439,29285,82,1915
-25,104307,56075,10710,0,8491,1433,27598,100,1312
-28,104307,59992,9158,0,8486,1380,25291,120,1009
-31,104307,63066,8198,0,8483,1339,23221,134,706
-34,104307,65360,7817,0,8486,1285,21359,159,702
-37,104307,67596,6946,2,8501,1244,20018,167,745
-40,104307,69865,5436,4,8521,1188,19293,179,746
-43,104307,71941,3615,5,8535,1107,19104,220,778
-46,104307,73685,2014,6,8542,997,19063,281,684
-49,104307,74853,980,7,8541,895,19031,348,669
-52,104307,75427,539,6,8538,732,19065,452,631
-55,104307,75601,525,5,8549,512,19115,589,535
-58,104307,75750,614,4,8558,337,19044,653,542
