targeted_share,accounts,limit_granted,incremental_revenue,incremental_exposure,incremental_expected_loss,net_benefit,revenue_per_unit_exposure,scenario
0.05,12750,1434375000.0,505468328.15591955,2528849199.121046,-9743631.707925092,515211959.8638447,0.19988,estimated
0.1,25500,2868750000.0,929311473.1154376,4654820039.427253,-12757412.497182563,942068885.6126202,0.19964,estimated
0.2,51001,5737612500.0,1676045101.999273,8461169430.662933,-28815309.804102812,1704860411.803376,0.19809,estimated
0.3,76501,8606362500.0,2335850621.3775797,11859996848.921852,-45421853.985912345,2381272475.363493,0.19695,estimated
0.5,127503,14344087500.0,3498422391.107484,17980877244.82237,-72829700.13464563,3571252091.24213,0.19456,estimated
1.0,255006,28688175000.0,5640379232.369432,31396028651.380367,-58118939.12724598,5698498171.496676,0.17965,estimated
0.05,12750,1434375000.0,512616094.82908154,2546085561.6792054,10796968.023613898,501819126.80546767,0.20133,conservative
0.1,25500,2868750000.0,938136354.0851376,4677760017.07836,21994631.016031496,916141723.0691061,0.20055,conservative
0.2,51001,5737612500.0,1683706937.2348866,8445295750.636681,50469242.519126825,1633237694.71576,0.19937,conservative
0.3,76501,8606362500.0,2337547362.228234,11787892922.681974,80567327.13785025,2256980035.090384,0.1983,conservative
0.5,127503,14344087500.0,3494616583.611799,17890652718.461304,149966263.7165512,3344650319.8952475,0.19533,conservative
1.0,255006,28688175000.0,5640379232.369432,31396028651.38036,423359938.05994713,5217019294.309486,0.17965,conservative
