feature,psi
tenure_months,1.5419093455349602
months_since_arrears,0.4461118718494525
balance_slope_12m,0.33339588268418463
atm_share_3m,0.2956445050693875
util_slope_12m,0.27922508614434716
atm_share_6m,0.2695374805876988
util_mean_12m,0.26697918617022964
util_std_12m,0.25715425278063303
months_since_overlimit,0.24850168837823652
util_max_12m,0.2335970653684662
atm_share_12m,0.23173201383161598
limit_at_observation_log,0.22921467301551512
payment_ratio_std_6m,0.21712068008684263
months_in_arrears_12m,0.20653581944526223
util_std_6m,0.19780986607507212
dpd_max_12m,0.1964103612477326
util_std_3m,0.19248684750954798
util_mean_6m,0.19097120410975604
util_mean_3m,0.18082294654226072
months_zero_payment_12m,0.1764926567383216
util_max_3m,0.1746348804304103
util_max_6m,0.17160700768614012
payment_ratio_std_12m,0.16491668838103712
months_zero_payment_6m,0.15733555479495773
months_in_arrears_6m,0.15203432102116485
dpd_max_6m,0.15203432102116485
util_at_observation,0.14079146050276564
payment_ratio_mean_12m,0.13018733821993905
limit_changes_ever,0.12677551407150642
util_trend_ratio,0.1259365925490809
months_in_arrears_3m,0.11492699965351377
dpd_max_3m,0.11492699965351377
months_in_arrears_ever,0.09635947296539508
dpd_max_ever,0.09169221337784463
months_zero_payment_3m,0.08854264811007315
months_overlimit_12m,0.08536165132264795
payment_ratio_mean_6m,0.08060400380829365
payment_ratio_std_3m,0.06655203305601534
payment_ratio_mean_3m,0.06213223714679548
months_overlimit_6m,0.04943524062600893
drawings_to_limit_12m,0.038376547129585166
months_overlimit_3m,0.024346321131688844
drawings_to_limit_6m,0.014444873948392587
drawings_to_limit_3m,0.005113779157178675
