feature,iv,bins
util_trend_ratio,1.6396067629463458,4
payment_ratio_mean_3m,1.450659569730799,3
months_since_arrears,1.441321914693561,11
payment_ratio_std_3m,1.4209622845775285,7
payment_ratio_std_6m,1.413589350362207,7
months_in_arrears_3m,1.2661057628525916,3
dpd_max_3m,1.1747197199790975,2
payment_ratio_mean_6m,1.1636147091823537,4
months_in_arrears_6m,1.1581662032560789,3
dpd_max_6m,1.080761585599961,2
util_slope_12m,1.0535820440121642,7
months_in_arrears_12m,1.0465439068194275,4
dpd_max_12m,0.9493679016702182,2
balance_slope_12m,0.9277498465017797,6
payment_ratio_std_12m,0.8956311259576175,7
util_std_12m,0.8797083170417186,7
dpd_max_ever,0.7671066607886208,3
payment_ratio_mean_12m,0.7365806275442095,5
util_std_6m,0.6620723138402362,3
months_zero_payment_6m,0.519046318390302,3
util_at_observation,0.5125048784388997,5
months_zero_payment_12m,0.49400866679391575,3
util_mean_3m,0.47415113474360737,8
months_in_arrears_ever,0.45029405362191544,8
util_mean_6m,0.4139516708211996,8
util_max_3m,0.3934240031587019,6
util_mean_12m,0.33837787638088834,8
util_max_6m,0.24947683118528788,6
tenure_months,0.19806739692410844,9
months_since_overlimit,0.19547684938064713,10
util_max_12m,0.1673100615031434,7
atm_share_3m,0.16446113268565946,2
months_overlimit_3m,0.1538103780935457,3
drawings_to_limit_6m,0.15350857289911496,2
atm_share_6m,0.1524156237236991,2
months_overlimit_6m,0.14686818074909583,5
months_overlimit_12m,0.13997424412980886,4
drawings_to_limit_3m,0.12430194125696663,3
limit_at_observation_log,0.11563736121680622,6
drawings_to_limit_12m,0.09469289926594165,4
atm_share_12m,0.08427936701741404,2
util_std_3m,0.04307032292665296,2
months_zero_payment_3m,0.03502708234154872,2
limit_changes_ever,0.018513003253937906,3
