band,accounts,treated,control,treated_outcome,control_outcome,observed_effect,estimated_effect
1,25586,1195,24391,0.0041841004184100415,0.010331679717928744,-0.006147579299518703,36561.1567373833
2,25586,1403,24183,0.003563791874554526,0.016416490923375927,-0.0128526990488214,29789.402674974488
3,25585,1452,24133,0.005509641873278237,0.018315170099034515,-0.012805528225756278,26368.562256556463
4,25586,1354,24232,0.0029542097488921715,0.01588808187520634,-0.012933872126314168,24069.331754409042
5,25585,1434,24151,0.006276150627615063,0.016065587346279657,-0.009789436718664595,22261.306443597583
6,25586,1554,24032,0.006435006435006435,0.014231025299600533,-0.007796018864594099,20903.227273654556
7,25586,1359,24227,0.006622516556291391,0.015396045734098321,-0.008773529177806931,19445.993116602884
8,25585,1316,24269,0.006838905775075988,0.01302072602909061,-0.006181820254014622,17800.27303878276
9,25586,1256,24330,0.007961783439490446,0.014960953555281545,-0.0069991701157911,15694.269956572825
10,25586,1387,24199,0.010814708002883922,0.014463407578825572,-0.0036486995759416503,10101.825862435302
