policy,depth,value_per_account,matched_accounts,effective_sample_size,treated_share_pct
"champion, uplift net benefit",0.1,11785.37,218708,128786.8,10.0
"champion, uplift net benefit",0.2,13699.64,195658,83945.0,20.0
"champion, uplift net benefit",0.3,15727.97,172646,58309.5,30.0
"challenger, utilisation rule",0.1,11817.37,220200,116096.5,10.0
"challenger, utilisation rule",0.2,13950.73,198986,72219.8,20.0
"challenger, utilisation rule",0.3,16058.64,178570,50466.4,30.0
scorecard only,0.1,12033.12,218214,143664.2,10.0
scorecard only,0.2,14168.5,195224,88705.9,20.0
scorecard only,0.3,16690.79,172790,59701.2,30.0
random,0.1,11575.12,219138,127651.3,10.0
random,0.2,13250.8,196282,81068.1,20.0
random,0.3,15044.59,173484,56976.5,30.0
