targeted,fraction_targeted,qini,treated,control,random
0,0.0,0.0,0,0,0.0
12750,0.04999882355709277,17536447.02494937,632,12118,16068586.713805683
25500,0.09999764711418554,38211738.92372847,1248,24252,32137173.427611366
38250,0.14999647067127833,59063742.97994302,1941,36309,48205760.14141706
51001,0.1999992157047285,80579738.49795118,2621,48380,64275607.13653362
63751,0.2499980392618213,100911309.67565143,3348,60403,80344193.85033931
76501,0.2999968628189141,117484656.13874519,4033,72468,96412780.564145
89252,0.3499996078523643,136915611.89986613,4755,84497,112482627.55926158
102002,0.399998431409457,154879318.47908264,5520,96482,128551214.27306724
114752,0.4499972549665498,171147503.80521023,6223,108529,144619800.98687294
127503,0.5,187549125.29222035,6942,120561,160689647.9819895
140253,0.5499988235570927,202167156.6888088,7643,132610,176758234.69579518
153003,0.5999976471141856,219992417.40247476,8409,144594,192826821.40960088
165753,0.6499964706712783,234920032.11730173,9058,156695,208895408.12340656
178504,0.6999992157047286,246341989.29833317,9687,168817,224965255.11852315
191254,0.7499980392618213,259602445.56938893,10369,180885,241033841.83232883
204004,0.799996862818914,272589891.2369237,11040,192964,257102428.54613447
216755,0.8499996078523643,284132434.9908464,11695,205060,273172275.54125106
229505,0.899998431409457,296302325.19550765,12329,217176,289240862.25505674
242255,0.9499972549665499,308484383.36725587,12974,229281,305309448.9688625
255006,1.0,321379295.963979,13730,241276,321379295.963979
