targeted,fraction_targeted,qini,treated,control,random
0,0.0,0.0,0,0,0.0
12792,0.04999667783175758,15318760.87529812,652,12140,16049063.751481146
25585,0.09999726409674153,30460675.55552332,1288,24297,32099382.12020365
38378,0.1499978503617255,46422720.18236019,1969,36409,48149700.488926165
51171,0.19999843662670946,63347802.364198126,2653,48518,64200018.85764867
63964,0.2499990228916934,79546670.06015943,3361,60603,80250337.22637117
76757,0.29999960915667734,96125772.00491485,4047,72710,96300655.59509367
89549,0.34999628698843493,113268831.17943045,4728,84821,112349719.34657483
102342,0.3999968732534189,129039950.24983585,5399,96943,128400037.71529734
115135,0.44999745951840286,144852143.7243911,6063,109072,144450356.08401984
127928,0.4999980457833868,161035444.77024508,6812,121116,160500674.45274234
140721,0.5499986320483707,177293263.3578495,7510,133211,176550992.82146484
153514,0.5999992183133547,194133292.46314996,8204,145310,192601311.19018734
166307,0.6499998045783387,210056023.32396433,8876,157431,208651629.5589099
179099,0.6999964824100963,225881043.10028046,9549,169550,224700693.310391
191892,0.7499970686750802,242113006.98590276,10272,181620,240751011.6791135
204685,0.7999976549400641,257887326.2956362,10960,193725,256801330.047836
217478,0.8499982412050481,273683312.65503776,11623,205855,272851648.4165585
230271,0.8999988274700321,288957226.9889881,12301,217970,288901966.78528106
243064,0.9499994137350161,305859386.6902243,13016,230048,304952285.15400356
255857,1.0,321002603.52272606,13710,242147,321002603.52272606
