targeted,fraction_targeted,qini,treated,control,random
0,0.0,0.0,0,0,-0.0
12792,0.04999667783175758,2.2912503046551302,483,12309,-6.016408607994536
25585,0.09999726409674153,3.464920486435921,998,24587,-12.033287541865244
38378,0.1499978503617255,1.454802952310919,1661,36717,-18.050166475735953
51171,0.19999843662670946,1.8083343562047371,2289,48882,-24.067045409606663
63964,0.2499990228916934,1.2263897533331143,2910,61054,-30.083924343477367
76757,0.29999960915667734,4.262594251994317,3549,73208,-36.10080327734807
89549,0.34999628698843493,2.542170935359792,4277,85272,-42.11721188534261
102342,0.3999968732534189,0.19729218884825528,4994,97348,-48.13409081921333
115135,0.44999745951840286,-2.822780526619045,5796,109339,-54.15096975308403
127928,0.4999980457833868,-7.549840474207933,6631,121297,-60.167848686954734
140721,0.5499986320483707,-7.187973985642593,7410,133311,-66.18472762082544
153514,0.5999992183133547,-8.803363055922503,8170,145344,-72.20160655469614
166307,0.6499998045783387,-10.631271886062194,8958,157349,-78.21848548856687
179099,0.6999964824100963,-21.440939815224766,9704,169395,-84.2348940965614
191892,0.7499970686750802,-28.382843596670156,10502,181390,-90.2517730304321
204685,0.7999976549400641,-36.94924369747899,11310,193375,-96.2686519643028
217478,0.8499982412050481,-50.68166351054663,12057,205421,-102.28553089817352
230271,0.8999988274700321,-60.46148223742276,12735,217536,-108.30240983204423
243064,0.9499994137350161,-77.36285123517249,13339,229725,-114.31928876591495
255857,1.0,-120.33616769978565,13710,242147,-120.33616769978565
