band,accounts,bads,actual_bad_rate,min_score,max_score,predicted_bad_rate,sample
"(449.471, 586.212]",16746,1832,0.1093992595246626,449.47220674637526,586.212430918126,0.11035798396332819,train
"(586.212, 614.591]",16745,253,0.015108987757539565,586.2131137960781,614.5912328149506,0.020427116704063233,train
"(614.591, 637.688]",16745,105,0.006270528515974918,614.5913371499407,637.68831031735,0.00810648350441844,train
"(637.688, 653.921]",16745,59,0.0035234398327859064,637.6900569870252,653.9212641098163,0.004127073376325128,train
"(653.921, 669.886]",16746,82,0.004896691747282933,653.9225049540833,669.8857704505882,0.002341839579590602,train
"(669.886, 684.618]",16758,59,0.003520706528225325,669.8890979179298,684.6178894388809,0.0013879292076529957,train
"(684.618, 697.987]",16731,41,0.0024505409120793736,684.6179422904978,697.9867019251577,0.0008551656960186637,train
"(697.987, 709.761]",16745,21,0.0012541057031949835,697.9868797793897,709.7612463199187,0.0005499898088533288,train
"(709.761, 724.15]",16745,11,0.0006569125111973724,709.7636033121869,724.1502687676946,0.0003565100012242578,train
"(724.15, 803.698]",16745,16,0.0009555091071961779,724.1589819741383,803.6977350676236,0.00020274310524315102,train
"(447.30800000000005, 586.387]",5635,585,0.10381543921916593,447.3085218071741,586.3868737952307,0.11129945723448352,test
"(586.387, 614.702]",5596,98,0.017512508934953538,586.3939450973127,614.7020470322014,0.020201447255963803,test
"(614.702, 638.088]",5615,43,0.007658058771148709,614.7024768633704,638.0834789860445,0.00802382835516164,test
"(638.088, 654.388]",5615,25,0.004452359750667854,638.0910838013242,654.3794588306254,0.004061037528640026,test
"(654.388, 670.895]",5616,29,0.005163817663817663,654.3907191732382,670.8949529963835,0.002294261764237222,test
"(670.895, 685.262]",5615,19,0.003383793410507569,670.8969917511529,685.2620121793097,0.0013450425502100254,test
"(685.262, 698.281]",5615,9,0.0016028495102404273,685.2624944527239,698.2779626200593,0.0008391584948521289,test
"(698.281, 710.24]",5615,4,0.0007123775601068567,698.2853305688616,710.2400574142644,0.0005422778086074862,test
"(710.24, 724.601]",5615,4,0.0007123775601068567,710.2407385558406,724.5984653953573,0.0003490858889264076,test
"(724.601, 790.532]",5616,7,0.0012464387464387464,724.6016119311369,790.5320538672261,0.00019995622116394783,test
"(456.208, 621.703]",13965,250,0.01790189760114572,456.20875737648737,621.7026853358859,0.03339316170570412,out_of_time
"(621.703, 652.032]",13964,26,0.0018619306788885707,621.7042847917041,652.0320072763096,0.005515002942914335,out_of_time
"(652.032, 675.978]",13964,23,0.001647092523632197,652.0334444595849,675.9770013816155,0.002219441718371695,out_of_time
"(675.978, 695.528]",13974,21,0.0015027908973808501,675.9816904943546,695.5276031169558,0.0010242180573143318,out_of_time
"(695.528, 704.917]",14051,11,0.0007828624297203046,695.5288347872502,704.9165530649309,0.0005999504722013579,out_of_time
"(704.917, 714.698]",13873,4,0.0002883298493476537,704.9191012216147,714.698332856549,0.0004450468736631463,out_of_time
"(714.698, 724.073]",16116,2,0.00012410027302060066,714.6997432078897,724.072545111133,0.0002974687139016652,out_of_time
"(724.073, 731.535]",11859,1,8.432414200185513e-05,724.0742302524887,731.534578539264,0.00023409529063026245,out_of_time
"(731.535, 737.537]",14055,4,0.00028459622909996445,731.5418344478265,737.5367316737838,0.00018788975797462437,out_of_time
"(737.537, 808.494]",13821,2,0.00014470732942623544,737.5388403943763,808.4937170770143,0.00014416634200770733,out_of_time
