feature,bin,count,bads,bad_rate,woe,iv,points
util_trend_ratio,"(-inf, 0.6831]",43703,1910,0.04370409354048921,1.1115518633154993,1.6396067629463458,17.3
util_trend_ratio,"(0.6831, 0.7866]",6243,131,0.02098350152170431,0.3578434182919891,1.6396067629463458,29.6
util_trend_ratio,"(0.7866, 0.8512]",6244,51,0.008167841127482383,-0.5927461258672668,1.6396067629463458,45.2
util_trend_ratio,"(0.8512, inf]",68676,359,0.005227444813326344,-1.0502793576686758,1.6396067629463458,52.7
util_trend_ratio,missing,42585,28,0.0006575085123869907,-3.111779593956823,1.6396067629463458,86.4
payment_ratio_mean_3m,"(-inf, 0.8]",5141,543,0.1056214744213188,2.061670445235489,1.450659569730799,0.8
payment_ratio_mean_3m,"(0.8, 8.937]",93757,1802,0.01921989824759751,0.2649960068155552,1.450659569730799,31.0
payment_ratio_mean_3m,"(8.937, inf]",5206,77,0.014790626200537841,0.004640649848510804,1.450659569730799,35.4
payment_ratio_mean_3m,missing,63347,57,0.00089980583137323,-2.806579389060066,1.450659569730799,82.7
months_since_arrears,"(-inf, 1]",10675,1183,0.11081967213114755,2.1135136089770574,1.441321914693561,-9.9
months_since_arrears,"(1, 2]",5207,196,0.037641636258882276,0.9567113529733712,1.441321914693561,14.9
months_since_arrears,"(2, 4]",7858,162,0.02061593280733011,0.33769651484863905,1.441321914693561,28.2
months_since_arrears,"(4, 7]",8987,136,0.015132969845332146,0.023521871588657404,1.441321914693561,35.0
months_since_arrears,"(7, 9]",5248,64,0.012195121951219513,-0.19122398806763005,1.441321914693561,39.6
months_since_arrears,"(9, 13]",9357,86,0.00919098001496206,-0.4790165717006279,1.441321914693561,45.8
months_since_arrears,"(13, 16]",6269,50,0.007975753708725474,-0.6179319882397291,1.441321914693561,48.8
months_since_arrears,"(16, 27]",19031,115,0.006042772318848195,-0.9029798339732145,1.441321914693561,54.9
months_since_arrears,"(27, 35]",10273,49,0.004769784872967974,-1.1350299382562485,1.441321914693561,59.9
months_since_arrears,"(35, 47]",9524,28,0.0029399412011759767,-1.6132350292487099,1.441321914693561,70.1
months_since_arrears,"(47, inf]",5154,13,0.002522312766783081,-1.7468709870958854,1.441321914693561,73.0
months_since_arrears,missing,69868,397,0.005682143470544456,-0.967937469284583,1.441321914693561,56.3
util_slope_12m,"(-inf, -0.02461]",41854,1715,0.040975772924929516,1.0436761986779062,1.0535820440121642,41.5
util_slope_12m,"(-0.02461, -0.01958]",8371,140,0.016724405686297933,0.12581645393528204,1.0535820440121642,36.2
util_slope_12m,"(-0.01958, -0.01404]",8371,104,0.012423844224107037,-0.17456787120152406,1.0535820440121642,34.5
util_slope_12m,"(-0.01404, -0.008023]",8371,93,0.011109783777326484,-0.2871231330034662,1.0535820440121642,33.8
util_slope_12m,"(-0.008023, -0.003108]",8371,66,0.00788436268068331,-0.6311387750197649,1.0535820440121642,31.9
util_slope_12m,"(-0.003108, -0.0002888]",8370,59,0.007048984468339307,-0.7430865621743717,1.0535820440121642,31.2
util_slope_12m,"(-0.0002888, inf]",83709,302,0.0036077363246484846,-1.4230797326406524,1.0535820440121642,27.3
util_slope_12m,missing,34,0,0.0,-0.03777400234770125,1.0535820440121642,35.3
util_std_12m,"(-inf, 0.01615]",50236,100,0.001990604347479895,-2.0160143349798774,0.8797083170417186,48.3
util_std_12m,"(0.01615, 0.0416]",16744,104,0.006211180124223602,-0.8740751883462644,0.8797083170417186,41.1
util_std_12m,"(0.0416, 0.05275]",8373,55,0.006568732831721008,-0.8135217060978506,0.8797083170417186,40.7
util_std_12m,"(0.05275, 0.06532]",8372,77,0.00919732441471572,-0.4768580394745507,0.8797083170417186,38.5
util_std_12m,"(0.06532, 0.07808]",8373,82,0.009793383494565867,-0.41385537706396,0.8797083170417186,38.1
util_std_12m,"(0.07808, 0.09164]",8373,138,0.016481547832318165,0.11099347065422083,0.8797083170417186,34.8
