sample,segment,rows,bads,bad_rate_pct,gini,ks
train,all scoreable,167451,2479,1.4804,0.8042,0.6688
train,"active, balance > 0",94540,2398,2.5365,0.7914,0.6599
train,"dormant, balance == 0",72544,79,0.1089,0.2863,0.2828
train,no arrears at observation,69868,397,0.5682,0.6468,0.5175
train,in arrears at observation,97583,2082,2.1336,0.8281,0.7003
test,all scoreable,56153,823,1.4656,0.7945,0.6548
test,"active, balance > 0",31726,799,2.5184,0.784,0.6428
test,"dormant, balance == 0",24303,24,0.0988,0.1626,0.2487
test,no arrears at observation,23094,147,0.6365,0.742,0.5939
test,in arrears at observation,33059,676,2.0448,0.8027,0.6846
out_of_time,all scoreable,139642,344,0.2463,0.7973,0.6323
out_of_time,"active, balance > 0",51306,322,0.6276,0.7478,0.6229
out_of_time,"dormant, balance == 0",88336,22,0.0249,0.3715,0.4374
out_of_time,no arrears at observation,79324,62,0.0782,0.5688,0.4995
out_of_time,in arrears at observation,60318,282,0.4675,0.8388,0.6999
