feature,bin,count,bads,bad_rate,woe,iv
tenure_months,"(-inf, 40]",65195,1335,0.020477030447120178,0.3285406428583002,0.19806739692410844
tenure_months,"(40, 44]",17078,337,0.01973298981145333,0.2918554707224215,0.19806739692410844
tenure_months,"(44, 48]",16410,248,0.015112736136502132,0.020929728630286696,0.19806739692410844
tenure_months,"(48, 50]",9970,132,0.013239719157472418,-0.11153998780190666,0.19806739692410844
tenure_months,"(50, 54]",13942,127,0.009109166547123798,-0.4894941584747214,0.19806739692410844
tenure_months,"(54, 57]",10240,79,0.00771484375,-0.6546684201963593,0.19806739692410844
tenure_months,"(57, 60]",9114,63,0.0069124423963133645,-0.7637099567436364,0.19806739692410844
tenure_months,"(60, 66]",14988,100,0.006672004270082733,-0.8022507481798798,0.19806739692410844
tenure_months,"(66, inf]",10514,58,0.005516454251474225,-0.990016413183036,0.19806739692410844
util_at_observation,"(-inf, 0.3949]",92098,2119,0.023008100067319594,0.44832760569043517,0.5125048784388997
util_at_observation,"(0.3949, 0.5798]",8373,73,0.008718499940284247,-0.5300563662282699,0.5125048784388997
util_at_observation,"(0.5798, 0.8189]",16745,86,0.005135861451179457,-1.063862228840759,0.5125048784388997
util_at_observation,"(0.8189, 0.8932]",8372,35,0.004180602006688963,-1.262256733255439,0.5125048784388997
util_at_observation,"(0.8932, inf]",41863,166,0.003965315433676516,-1.3264718840437597,0.5125048784388997
limit_at_observation_log,"(-inf, 11.41]",32380,681,0.02103150092649784,0.3567709253562095,0.11563736121680622
limit_at_observation_log,"(11.41, 11.63]",22696,417,0.01837328163553049,0.21939315324315187,0.11563736121680622
limit_at_observation_log,"(11.63, 11.81]",14872,265,0.017818719741796666,0.18885532734334015,0.11563736121680622
limit_at_observation_log,"(11.81, 11.97]",27915,383,0.013720222102812108,-0.0772519221418496,0.11563736121680622
limit_at_observation_log,"(11.97, 12.51]",59186,688,0.011624370628189098,-0.245710212606922,0.11563736121680622
limit_at_observation_log,"(12.51, inf]",10402,45,0.004326091136319939,-1.2312229869047135,0.11563736121680622
util_mean_3m,"(-inf, 0.2843]",83725,1888,0.0225500149298298,0.4271814733527574,0.47415113474360737
util_mean_3m,"(0.2843, 0.4546]",8373,185,0.022094828615788844,0.4087030561071606,0.47415113474360737
util_mean_3m,"(0.4546, 0.608]",8373,88,0.010509972530753612,-0.3431255421063721,0.47415113474360737
util_mean_3m,"(0.608, 0.7165]",8372,76,0.009077878643096034,-0.49016409332075955,0.47415113474360737
util_mean_3m,"(0.7165, 0.8139]",8373,46,0.005493849277439389,-0.9917320735249313,0.47415113474360737
util_mean_3m,"(0.8139, 0.8862]",8372,42,0.005016722408026756,-1.0820404974891595,0.47415113474360737
util_mean_3m,"(0.8862, 0.9385]",8372,37,0.004419493549928333,-1.207803664462128,0.47415113474360737
util_mean_3m,"(0.9385, inf]",33491,117,0.00349347585918605,-1.4529748967831158,0.47415113474360737
util_max_3m,"(-inf, 0.3834]",83725,1911,0.0228247237981487,0.43996464573085925,0.3934240031587019
util_max_3m,"(0.3834, 0.5761]",8373,131,0.015645527290099128,0.058478737761871805,0.3934240031587019
util_max_3m,"(0.5761, 0.8246]",16745,130,0.007763511495968946,-0.6501871857724104,0.3934240031587019
util_max_3m,"(0.8246, 0.9558]",16745,97,0.005792773962376829,-0.9436921621664037,0.3934240031587019
